,Date,Region,Community,Turbidity(NTU),Ecoli_Count(CFU/100ml),Nitrate(mg/L),pH,Cholera_Cases,Typhoid_Cases,Diarrhea_Cases,Total_Waterborne_Cases,Risk_Level,Year,Month,Quarter,Time_Since_Start,Season
2171,2019-11-15,Peri-Urban,Ikorodu,2.78,77,19.58,6.93,2.0,3.0,5.0,10.0,High,2019,11,4,318,Dry
2172,2019-11-19,Peri-Urban,Ikorodu,5.02,61,17.18,6.82,0.0,5.0,5.0,10.0,High,2019,11,4,322,Dry
2173,2019-11-22,Peri-Urban,Ikorodu,4.16,54,10.21,7.27,2.0,0.0,3.0,5.0,Medium,2019,11,4,325,Dry
2174,2019-11-26,Peri-Urban,Ikorodu,1.52,79,14.29,6.56,4.0,1.0,2.0,7.0,Medium,2019,11,4,329,Dry
2175,2019-11-29,Peri-Urban,Ikorodu,2.09,63,13.43,6.59,2.0,0.0,3.0,5.0,Medium,2019,11,4,332,Dry
2176,2019-03-12,Peri-Urban,Ikorodu,3.15,50,17.85,6.36,5.0,3.0,5.0,13.0,High,2019,3,1,70,Dry
2177,2019-06-12,Peri-Urban,Ikorodu,2.18,57,7.29,6.99,0.0,0.0,1.0,1.0,Low,2019,6,2,162,Rainy
2178,2019-10-12,Peri-Urban,Ikorodu,2.1,44,14.16,6.37,4.0,0.0,2.0,6.0,Medium,2019,10,4,284,Rainy
2179,2019-12-13,Peri-Urban,Ikorodu,4.18,42,18.52,6.32,3.0,1.0,0.0,4.0,Low,2019,12,4,346,Dry
2180,2019-12-17,Peri-Urban,Ikorodu,1.69,60,21.31,6.47,4.0,3.0,4.0,11.0,High,2019,12,4,350,Dry
2181,2019-12-20,Peri-Urban,Ikorodu,2.87,54,10.82,6.58,4.0,5.0,1.0,10.0,High,2019,12,4,353,Dry
2182,2019-12-24,Peri-Urban,Ikorodu,4.2,59,18.65,6.54,3.0,3.0,6.0,12.0,High,2019,12,4,357,Dry
2183,2019-12-27,Peri-Urban,Ikorodu,5.46,65,12.83,6.64,4.0,2.0,4.0,10.0,High,2019,12,4,360,Dry
2184,2019-12-31,Peri-Urban,Ikorodu,2.21,60,20.04,7.02,3.0,2.0,2.0,7.0,Medium,2019,12,4,364,Dry
2185,2020-03-01,Peri-Urban,Ikorodu,0.65,55,14.28,6.94,4.0,2.0,3.0,9.0,Medium,2020,3,1,425,Dry
2186,2020-07-01,Peri-Urban,Ikorodu,4.86,74,17.29,6.92,3.0,1.0,3.0,7.0,Medium,2020,7,3,547,Rainy
2187,2020-10-01,Peri-Urban,Ikorodu,0.0,70,15.31,6.74,1.0,3.0,1.0,5.0,Medium,2020,10,4,639,Rainy
2188,2020-01-14,Peri-Urban,Ikorodu,1.72,19,9.23,6.78,1.0,0.0,1.0,2.0,Low,2020,1,1,378,Dry
2189,2020-01-17,Peri-Urban,Ikorodu,2.22,70,14.17,7.29,2.0,0.0,3.0,5.0,Medium,2020,1,1,381,Dry
2190,2020-01-21,Peri-Urban,Ikorodu,2.19,46,13.37,6.66,2.0,0.0,0.0,2.0,Low,2020,1,1,385,Dry
2191,2020-01-24,Peri-Urban,Ikorodu,3.43,56,21.9,6.63,1.0,4.0,2.0,7.0,Medium,2020,1,1,388,Dry
2192,2020-01-28,Peri-Urban,Ikorodu,3.5,81,16.02,7.13,3.0,5.0,1.0,9.0,Medium,2020,1,1,392,Dry
2193,2020-01-31,Peri-Urban,Ikorodu,2.86,88,14.27,7.2,5.0,3.0,5.0,13.0,High,2020,1,1,395,Dry
2194,2020-04-02,Peri-Urban,Ikorodu,1.39,35,9.62,7.08,2.0,1.0,3.0,6.0,Medium,2020,4,2,457,Rainy
2195,2020-07-02,Peri-Urban,Ikorodu,2.0,48,14.56,6.78,3.0,0.0,4.0,7.0,Medium,2020,7,3,548,Rainy
2196,2020-11-02,Peri-Urban,Ikorodu,3.46,40,23.51,6.63,3.0,1.0,4.0,8.0,Medium,2020,11,4,671,Dry
2197,2020-02-14,Peri-Urban,Ikorodu,3.22,15,6.67,7.0,2.0,1.0,1.0,4.0,Low,2020,2,1,409,Dry
2198,2020-02-18,Peri-Urban,Ikorodu,2.93,29,10.08,6.57,1.0,1.0,1.0,3.0,Low,2020,2,1,413,Dry
2199,2020-02-21,Peri-Urban,Ikorodu,1.8,62,8.33,6.61,4.0,1.0,2.0,7.0,Medium,2020,2,1,416,Dry
2200,2020-02-25,Peri-Urban,Ikorodu,2.14,28,19.39,6.65,1.0,1.0,0.0,2.0,Low,2020,2,1,420,Dry
2201,2020-02-28,Peri-Urban,Ikorodu,2.72,57,10.92,7.13,5.0,0.0,3.0,8.0,Medium,2020,2,1,423,Dry
2202,2020-03-03,Peri-Urban,Ikorodu,0.39,73,21.61,6.76,5.0,2.0,2.0,9.0,Medium,2020,3,1,427,Dry
2203,2020-06-03,Peri-Urban,Ikorodu,4.64,48,0.0,6.6,1.0,0.0,0.0,1.0,Low,2020,6,2,519,Rainy
2204,2020-10-03,Peri-Urban,Ikorodu,0.0,53,21.6,6.66,1.0,1.0,0.0,2.0,Low,2020,10,4,641,Rainy
2205,2020-03-13,Peri-Urban,Ikorodu,2.42,49,24.77,6.89,3.0,2.0,0.0,5.0,Medium,2020,3,1,437,Dry
2207,2020-03-20,Peri-Urban,Ikorodu,1.26,53,10.24,7.02,5.0,3.0,2.0,10.0,High,2020,3,1,444,Dry
2208,2020-03-24,Peri-Urban,Ikorodu,1.53,75,7.24,6.58,1.0,1.0,1.0,3.0,Low,2020,3,1,448,Dry
2209,2020-03-27,Peri-Urban,Ikorodu,1.39,42,23.85,7.22,9.0,2.0,1.0,12.0,High,2020,3,1,451,Dry
2210,2020-03-31,Peri-Urban,Ikorodu,2.59,71,15.35,6.78,4.0,0.0,4.0,8.0,Medium,2020,3,1,455,Dry
2212,2020-07-04,Peri-Urban,Ikorodu,4.16,70,11.8,7.04,5.0,1.0,2.0,8.0,Medium,2020,7,3,550,Rainy
2213,2020-10-04,Peri-Urban,Ikorodu,3.02,70,20.01,6.65,1.0,4.0,4.0,9.0,Medium,2020,10,4,642,Rainy
2215,2020-04-17,Peri-Urban,Ikorodu,2.48,67,12.62,6.93,3.0,2.0,2.0,7.0,Medium,2020,4,2,472,Rainy
2217,2020-04-24,Peri-Urban,Ikorodu,1.57,33,15.42,6.87,1.0,1.0,1.0,3.0,Low,2020,4,2,479,Rainy
2218,2020-04-28,Peri-Urban,Ikorodu,5.45,75,21.97,6.38,5.0,3.0,1.0,9.0,Medium,2020,4,2,483,Rainy
2219,2020-01-05,Peri-Urban,Ikorodu,2.98,38,19.92,6.67,5.0,0.0,1.0,6.0,Medium,2020,1,1,369,Dry
2220,2020-05-05,Peri-Urban,Ikorodu,1.95,70,13.63,7.38,2.0,4.0,6.0,12.0,High,2020,5,2,490,Rainy
2221,2020-08-05,Peri-Urban,Ikorodu,3.89,74,14.1,6.36,4.0,3.0,9.0,16.0,High,2020,8,3,582,Rainy
2222,2020-12-05,Peri-Urban,Ikorodu,3.44,73,21.12,6.63,2.0,1.0,6.0,9.0,Medium,2020,12,4,704,Dry
2223,2020-05-15,Peri-Urban,Ikorodu,2.96,63,26.03,6.83,2.0,1.0,7.0,10.0,High,2020,5,2,500,Rainy
2224,2020-05-19,Peri-Urban,Ikorodu,3.51,41,9.73,6.91,1.0,5.0,2.0,8.0,Medium,2020,5,2,504,Rainy
2225,2020-05-22,Peri-Urban,Ikorodu,3.84,65,17.82,6.79,4.0,3.0,2.0,9.0,Medium,2020,5,2,507,Rainy
2226,2020-05-26,Peri-Urban,Ikorodu,3.7,68,15.96,6.43,6.0,1.0,2.0,9.0,Medium,2020,5,2,511,Rainy
2227,2020-05-29,Peri-Urban,Ikorodu,4.77,35,16.46,7.12,1.0,1.0,6.0,8.0,Medium,2020,5,2,514,Rainy
2228,2020-02-06,Peri-Urban,Ikorodu,1.49,50,15.88,6.79,4.0,2.0,2.0,8.0,Medium,2020,2,1,401,Dry
2229,2020-05-06,Peri-Urban,Ikorodu,4.89,6,6.02,6.32,3.0,0.0,0.0,3.0,Low,2020,5,2,491,Rainy
2230,2020-09-06,Peri-Urban,Ikorodu,3.19,80,9.93,6.84,3.0,1.0,0.0,4.0,Low,2020,9,3,614,Rainy
2231,2020-12-06,Peri-Urban,Ikorodu,3.52,27,15.93,6.59,5.0,1.0,2.0,8.0,Medium,2020,12,4,705,Dry
2232,2020-06-16,Peri-Urban,Ikorodu,0.74,32,14.39,6.84,2.0,3.0,2.0,7.0,Medium,2020,6,2,532,Rainy
2233,2020-06-19,Peri-Urban,Ikorodu,3.85,52,19.3,6.54,3.0,1.0,3.0,7.0,Medium,2020,6,2,535,Rainy
2234,2020-06-23,Peri-Urban,Ikorodu,3.42,0,9.79,7.14,0.0,0.0,1.0,1.0,Low,2020,6,2,539,Rainy
2235,2020-06-26,Peri-Urban,Ikorodu,1.81,73,11.38,6.07,1.0,3.0,3.0,7.0,Medium,2020,6,2,542,Rainy
2236,2020-06-30,Peri-Urban,Ikorodu,1.03,51,23.01,6.86,2.0,0.0,2.0,4.0,Low,2020,6,2,546,Rainy
2237,2020-03-07,Peri-Urban,Ikorodu,2.12,87,20.78,7.22,3.0,3.0,3.0,9.0,Medium,2020,3,1,431,Dry
2238,2020-07-07,Peri-Urban,Ikorodu,0.0,67,8.81,6.57,1.0,3.0,0.0,4.0,Low,2020,7,3,553,Rainy
2239,2020-10-07,Peri-Urban,Ikorodu,5.31,73,7.08,6.35,4.0,1.0,3.0,8.0,Medium,2020,10,4,645,Rainy
2240,2020-07-14,Peri-Urban,Ikorodu,1.87,56,19.83,7.27,5.0,4.0,1.0,10.0,High,2020,7,3,560,Rainy
2241,2020-07-17,Peri-Urban,Ikorodu,3.17,28,16.63,6.3,1.0,1.0,1.0,3.0,Low,2020,7,3,563,Rainy
2242,2020-07-21,Peri-Urban,Ikorodu,4.27,45,9.71,6.81,6.0,2.0,2.0,10.0,High,2020,7,3,567,Rainy
2243,2020-07-24,Peri-Urban,Ikorodu,5.42,59,5.19,7.16,3.0,2.0,5.0,10.0,High,2020,7,3,570,Rainy
2244,2020-07-28,Peri-Urban,Ikorodu,1.43,77,9.85,6.62,4.0,3.0,2.0,9.0,Medium,2020,7,3,574,Rainy
2245,2020-07-31,Peri-Urban,Ikorodu,3.92,79,17.58,6.87,1.0,6.0,5.0,12.0,High,2020,7,3,577,Rainy
2246,2020-04-08,Peri-Urban,Ikorodu,2.39,67,12.15,6.62,8.0,1.0,7.0,16.0,High,2020,4,2,463,Rainy
2247,2020-07-08,Peri-Urban,Ikorodu,2.5,59,15.76,6.72,5.0,1.0,2.0,8.0,Medium,2020,7,3,554,Rainy
2248,2020-11-08,Peri-Urban,Ikorodu,2.73,44,1.87,7.0,5.0,3.0,3.0,11.0,High,2020,11,4,677,Dry
2249,2020-08-14,Peri-Urban,Ikorodu,2.54,38,9.82,6.61,2.0,1.0,2.0,5.0,Medium,2020,8,3,591,Rainy
2250,2020-08-18,Peri-Urban,Ikorodu,3.37,55,13.52,7.16,2.0,2.0,4.0,8.0,Medium,2020,8,3,595,Rainy
2251,2020-08-21,Peri-Urban,Ikorodu,4.05,70,5.06,6.16,7.0,4.0,3.0,14.0,High,2020,8,3,598,Rainy
2252,2020-08-25,Peri-Urban,Ikorodu,3.07,55,14.72,6.44,1.0,1.0,4.0,6.0,Medium,2020,8,3,602,Rainy
2253,2020-08-28,Peri-Urban,Ikorodu,2.55,79,7.09,6.45,7.0,4.0,6.0,17.0,High,2020,8,3,605,Rainy
2254,2020-01-09,Peri-Urban,Ikorodu,4.48,53,18.72,6.49,3.0,2.0,5.0,10.0,High,2020,1,1,373,Dry
2255,2020-04-09,Peri-Urban,Ikorodu,2.01,31,17.15,6.42,2.0,1.0,1.0,4.0,Low,2020,4,2,464,Rainy
2256,2020-08-09,Peri-Urban,Ikorodu,5.49,82,16.22,6.77,4.0,2.0,4.0,10.0,High,2020,8,3,586,Rainy
2257,2020-11-09,Peri-Urban,Ikorodu,4.51,44,22.31,6.82,7.0,1.0,5.0,13.0,High,2020,11,4,678,Dry
2258,2020-09-15,Peri-Urban,Ikorodu,2.8,77,15.97,7.08,1.0,3.0,3.0,7.0,Medium,2020,9,3,623,Rainy
2259,2020-09-18,Peri-Urban,Ikorodu,3.2,77,17.52,7.07,3.0,2.0,6.0,11.0,High,2020,9,3,626,Rainy
2260,2020-09-22,Peri-Urban,Ikorodu,5.63,59,12.03,7.41,5.0,3.0,3.0,11.0,High,2020,9,3,630,Rainy
2261,2020-09-25,Peri-Urban,Ikorodu,2.95,55,21.39,6.49,3.0,2.0,2.0,7.0,Medium,2020,9,3,633,Rainy
2262,2020-09-29,Peri-Urban,Ikorodu,2.14,52,7.72,6.84,4.0,1.0,2.0,7.0,Medium,2020,9,3,637,Rainy
2263,2020-02-10,Peri-Urban,Ikorodu,5.86,66,11.17,6.78,7.0,6.0,4.0,17.0,High,2020,2,1,405,Dry
2264,2020-06-10,Peri-Urban,Ikorodu,1.3,70,4.33,7.09,3.0,3.0,4.0,10.0,High,2020,6,2,526,Rainy
2265,2020-09-10,Peri-Urban,Ikorodu,2.53,61,17.86,6.43,1.0,2.0,3.0,6.0,Medium,2020,9,3,618,Rainy
2266,2020-10-13,Peri-Urban,Ikorodu,5.25,91,24.75,6.82,4.0,6.0,3.0,13.0,High,2020,10,4,651,Rainy
2267,2020-10-16,Peri-Urban,Ikorodu,0.0,67,14.13,6.97,6.0,1.0,4.0,11.0,High,2020,10,4,654,Rainy
2268,2020-10-20,Peri-Urban,Ikorodu,2.29,59,9.2,6.7,2.0,3.0,1.0,6.0,Medium,2020,10,4,658,Rainy
2269,2020-10-23,Peri-Urban,Ikorodu,4.48,66,14.98,6.62,4.0,3.0,4.0,11.0,High,2020,10,4,661,Rainy
2270,2020-10-27,Peri-Urban,Ikorodu,1.47,37,24.13,7.36,0.0,1.0,2.0,3.0,Low,2020,10,4,665,Rainy
2271,2020-10-30,Peri-Urban,Ikorodu,4.82,100,17.9,6.45,8.0,3.0,5.0,16.0,High,2020,10,4,668,Rainy
2272,2020-03-11,Peri-Urban,Ikorodu,3.08,55,11.19,7.27,3.0,2.0,1.0,6.0,Medium,2020,3,1,435,Dry
2273,2020-06-11,Peri-Urban,Ikorodu,5.31,71,10.17,7.01,10.0,4.0,4.0,18.0,High,2020,6,2,527,Rainy
2274,2020-10-11,Peri-Urban,Ikorodu,1.34,61,17.69,6.79,6.0,0.0,3.0,9.0,Medium,2020,10,4,649,Rainy
2275,2020-11-13,Peri-Urban,Ikorodu,5.37,30,17.28,6.62,3.0,1.0,0.0,4.0,Low,2020,11,4,682,Dry
2276,2020-11-17,Peri-Urban,Ikorodu,3.15,27,19.57,7.0,0.0,0.0,2.0,2.0,Low,2020,11,4,686,Dry
2277,2020-11-20,Peri-Urban,Ikorodu,0.76,46,16.19,6.77,3.0,1.0,1.0,5.0,Medium,2020,11,4,689,Dry
2278,2020-11-24,Peri-Urban,Ikorodu,4.11,89,15.95,7.21,4.0,2.0,2.0,8.0,Medium,2020,11,4,693,Dry
2279,2020-11-27,Peri-Urban,Ikorodu,2.38,80,14.47,7.37,5.0,4.0,3.0,12.0,High,2020,11,4,696,Dry
2280,2020-01-12,Peri-Urban,Ikorodu,1.86,54,11.01,7.1,3.0,4.0,1.0,8.0,Medium,2020,1,1,376,Dry
2281,2020-04-12,Peri-Urban,Ikorodu,3.82,78,12.15,6.54,5.0,1.0,5.0,11.0,High,2020,4,2,467,Rainy
2282,2020-08-12,Peri-Urban,Ikorodu,4.96,84,21.24,7.1,3.0,5.0,4.0,12.0,High,2020,8,3,589,Rainy
2283,2020-11-12,Peri-Urban,Ikorodu,2.77,76,14.82,6.81,2.0,1.0,6.0,9.0,Medium,2020,11,4,681,Dry
2284,2020-12-15,Peri-Urban,Ikorodu,1.51,38,7.82,6.57,1.0,1.0,1.0,3.0,Low,2020,12,4,714,Dry
2285,2020-12-18,Peri-Urban,Ikorodu,2.39,71,16.86,6.61,2.0,3.0,4.0,9.0,Medium,2020,12,4,717,Dry
2286,2020-12-22,Peri-Urban,Ikorodu,1.93,44,20.75,7.02,1.0,0.0,1.0,2.0,Low,2020,12,4,721,Dry
2287,2020-12-25,Peri-Urban,Ikorodu,1.9,56,19.75,7.1,2.0,3.0,4.0,9.0,Medium,2020,12,4,724,Dry
2288,2020-12-29,Peri-Urban,Ikorodu,6.22,78,17.97,6.75,2.0,0.0,3.0,5.0,Medium,2020,12,4,728,Dry
2289,2021-01-01,Peri-Urban,Ikorodu,2.48,50,4.92,6.81,3.0,1.0,3.0,7.0,Medium,2021,1,1,731,Dry
2290,2021-05-01,Peri-Urban,Ikorodu,5.19,81,16.82,6.79,7.0,2.0,7.0,16.0,High,2021,5,2,851,Rainy
2291,2021-08-01,Peri-Urban,Ikorodu,5.55,44,19.85,6.71,2.0,4.0,4.0,10.0,High,2021,8,3,943,Rainy
2292,2021-12-01,Peri-Urban,Ikorodu,4.14,28,22.21,6.63,3.0,3.0,1.0,7.0,Medium,2021,12,4,1065,Dry
2293,2021-01-15,Peri-Urban,Ikorodu,1.25,69,7.75,6.77,2.0,3.0,1.0,6.0,Medium,2021,1,1,745,Dry
2294,2021-01-19,Peri-Urban,Ikorodu,4.21,62,15.62,6.04,6.0,4.0,2.0,12.0,High,2021,1,1,749,Dry
2295,2021-01-22,Peri-Urban,Ikorodu,3.98,65,25.37,7.19,2.0,2.0,3.0,7.0,Medium,2021,1,1,752,Dry
2296,2021-01-26,Peri-Urban,Ikorodu,1.74,51,13.97,7.19,5.0,1.0,2.0,8.0,Medium,2021,1,1,756,Dry
2297,2021-01-29,Peri-Urban,Ikorodu,1.63,78,13.93,6.92,2.0,0.0,1.0,3.0,Low,2021,1,1,759,Dry
2298,2021-02-02,Peri-Urban,Ikorodu,1.67,36,14.23,6.51,2.0,3.0,3.0,8.0,Medium,2021,2,1,763,Dry
2299,2021-05-02,Peri-Urban,Ikorodu,4.9,73,10.6,6.97,1.0,2.0,6.0,9.0,Medium,2021,5,2,852,Rainy
2300,2021-09-02,Peri-Urban,Ikorodu,2.1,88,11.21,6.98,3.0,1.0,5.0,9.0,Medium,2021,9,3,975,Rainy
2301,2021-12-02,Peri-Urban,Ikorodu,5.56,81,3.87,6.64,2.0,2.0,5.0,9.0,Medium,2021,12,4,1066,Dry
2302,2021-02-16,Peri-Urban,Ikorodu,0.81,67,19.8,7.15,1.0,0.0,5.0,6.0,Medium,2021,2,1,777,Dry
2303,2021-02-19,Peri-Urban,Ikorodu,4.37,20,11.8,6.78,1.0,2.0,1.0,4.0,Low,2021,2,1,780,Dry
2304,2021-02-23,Peri-Urban,Ikorodu,3.34,42,16.25,7.11,3.0,2.0,2.0,7.0,Medium,2021,2,1,784,Dry
2305,2021-02-26,Peri-Urban,Ikorodu,1.04,71,15.7,7.3,5.0,1.0,4.0,10.0,High,2021,2,1,787,Dry
2306,2021-02-03,Peri-Urban,Ikorodu,4.59,89,16.39,6.67,8.0,3.0,6.0,17.0,High,2021,2,1,764,Dry
2307,2021-05-03,Peri-Urban,Ikorodu,3.12,50,11.81,6.21,2.0,3.0,4.0,9.0,Medium,2021,5,2,853,Rainy
2308,2021-09-03,Peri-Urban,Ikorodu,4.07,49,21.72,6.96,3.0,1.0,1.0,5.0,Medium,2021,9,3,976,Rainy
2309,2021-12-03,Peri-Urban,Ikorodu,3.17,59,16.66,6.43,1.0,5.0,9.0,15.0,High,2021,12,4,1067,Dry
2310,2021-03-16,Peri-Urban,Ikorodu,3.66,39,9.15,6.69,1.0,2.0,3.0,6.0,Medium,2021,3,1,805,Dry
2311,2021-03-19,Peri-Urban,Ikorodu,3.05,35,6.2,6.32,3.0,0.0,1.0,4.0,Low,2021,3,1,808,Dry
2312,2021-03-23,Peri-Urban,Ikorodu,1.2,82,9.26,6.28,5.0,2.0,2.0,9.0,Medium,2021,3,1,812,Dry
2313,2021-03-26,Peri-Urban,Ikorodu,3.84,64,14.31,7.28,4.0,2.0,0.0,6.0,Medium,2021,3,1,815,Dry
2314,2021-03-30,Peri-Urban,Ikorodu,3.15,24,14.36,6.79,1.0,1.0,0.0,2.0,Low,2021,3,1,819,Dry
2315,2021-02-04,Peri-Urban,Ikorodu,1.23,74,9.27,6.87,7.0,1.0,3.0,11.0,High,2021,2,1,765,Dry
2316,2021-06-04,Peri-Urban,Ikorodu,3.22,79,19.79,7.42,2.0,4.0,5.0,11.0,High,2021,6,2,885,Rainy
2317,2021-09-04,Peri-Urban,Ikorodu,2.9,56,9.64,7.06,0.0,1.0,2.0,3.0,Low,2021,9,3,977,Rainy
2318,2021-04-13,Peri-Urban,Ikorodu,1.47,77,20.16,7.3,3.0,2.0,4.0,9.0,Medium,2021,4,2,833,Rainy
2319,2021-04-16,Peri-Urban,Ikorodu,2.61,83,12.84,7.2,2.0,2.0,4.0,8.0,Medium,2021,4,2,836,Rainy
2320,2021-04-20,Peri-Urban,Ikorodu,4.57,58,14.5,6.73,8.0,3.0,3.0,14.0,High,2021,4,2,840,Rainy
2321,2021-04-23,Peri-Urban,Ikorodu,1.05,3,17.37,6.31,1.0,0.0,0.0,1.0,Low,2021,4,2,843,Rainy
2322,2021-04-27,Peri-Urban,Ikorodu,0.61,57,19.28,7.01,3.0,4.0,2.0,9.0,Medium,2021,4,2,847,Rainy
2323,2021-04-30,Peri-Urban,Ikorodu,3.43,79,16.73,7.02,6.0,1.0,4.0,11.0,High,2021,4,2,850,Rainy
2324,2021-04-05,Peri-Urban,Ikorodu,2.09,46,12.52,7.15,2.0,0.0,1.0,3.0,Low,2021,4,2,825,Rainy
2325,2021-07-05,Peri-Urban,Ikorodu,3.32,55,14.25,7.1,2.0,3.0,2.0,7.0,Medium,2021,7,3,916,Rainy
2326,2021-11-05,Peri-Urban,Ikorodu,2.94,29,16.61,6.78,2.0,2.0,1.0,5.0,Medium,2021,11,4,1039,Dry
2327,2021-05-14,Peri-Urban,Ikorodu,2.51,55,23.11,6.83,2.0,2.0,4.0,8.0,Medium,2021,5,2,864,Rainy
2328,2021-05-18,Peri-Urban,Ikorodu,2.46,78,4.07,6.72,5.0,2.0,3.0,10.0,High,2021,5,2,868,Rainy
2329,2021-05-21,Peri-Urban,Ikorodu,3.3,43,16.04,7.01,0.0,2.0,1.0,3.0,Low,2021,5,2,871,Rainy
2330,2021-05-25,Peri-Urban,Ikorodu,0.59,60,19.31,7.2,2.0,3.0,3.0,8.0,Medium,2021,5,2,875,Rainy
2331,2021-05-28,Peri-Urban,Ikorodu,2.97,57,7.78,6.24,3.0,4.0,4.0,11.0,High,2021,5,2,878,Rainy
2332,2021-01-06,Peri-Urban,Ikorodu,2.65,58,15.22,6.83,3.0,1.0,1.0,5.0,Medium,2021,1,1,736,Dry
2333,2021-04-06,Peri-Urban,Ikorodu,3.35,42,7.91,7.16,2.0,1.0,4.0,7.0,Medium,2021,4,2,826,Rainy
2336,2021-06-15,Peri-Urban,Ikorodu,4.69,47,7.98,7.02,1.0,0.0,9.0,10.0,High,2021,6,2,896,Rainy
2337,2021-06-18,Peri-Urban,Ikorodu,5.69,87,23.52,6.99,5.0,3.0,10.0,18.0,High,2021,6,2,899,Rainy
2338,2021-06-22,Peri-Urban,Ikorodu,2.65,40,13.67,6.33,6.0,1.0,2.0,9.0,Medium,2021,6,2,903,Rainy
2340,2021-06-29,Peri-Urban,Ikorodu,3.51,28,17.15,6.51,1.0,0.0,3.0,4.0,Low,2021,6,2,910,Rainy
2341,2021-02-07,Peri-Urban,Ikorodu,1.6,71,19.62,7.2,3.0,6.0,1.0,10.0,High,2021,2,1,768,Dry
2342,2021-06-07,Peri-Urban,Ikorodu,2.15,33,15.18,7.13,3.0,1.0,2.0,6.0,Medium,2021,6,2,888,Rainy
2343,2021-09-07,Peri-Urban,Ikorodu,3.48,60,20.3,7.44,2.0,1.0,4.0,7.0,Medium,2021,9,3,980,Rainy
2344,2021-07-13,Peri-Urban,Ikorodu,3.93,46,12.62,6.74,4.0,6.0,3.0,13.0,High,2021,7,3,924,Rainy
2345,2021-07-16,Peri-Urban,Ikorodu,3.26,57,20.11,6.62,4.0,1.0,3.0,8.0,Medium,2021,7,3,927,Rainy
2346,2021-07-20,Peri-Urban,Ikorodu,4.77,59,12.47,6.85,4.0,2.0,3.0,9.0,Medium,2021,7,3,931,Rainy
2347,2021-07-23,Peri-Urban,Ikorodu,2.89,69,20.0,6.9,1.0,3.0,2.0,6.0,Medium,2021,7,3,934,Rainy
2349,2021-07-30,Peri-Urban,Ikorodu,3.76,28,18.58,6.92,4.0,0.0,0.0,4.0,Low,2021,7,3,941,Rainy
2350,2021-03-08,Peri-Urban,Ikorodu,2.95,83,12.68,7.32,13.0,3.0,3.0,19.0,High,2021,3,1,797,Dry
2353,2021-08-13,Peri-Urban,Ikorodu,2.29,50,11.53,6.65,5.0,4.0,1.0,10.0,High,2021,8,3,955,Rainy
2354,2021-08-17,Peri-Urban,Ikorodu,2.72,84,14.09,7.05,6.0,5.0,1.0,12.0,High,2021,8,3,959,Rainy
2355,2021-08-20,Peri-Urban,Ikorodu,2.41,59,21.49,6.38,5.0,3.0,6.0,14.0,High,2021,8,3,962,Rainy
2356,2021-08-24,Peri-Urban,Ikorodu,5.19,90,14.39,6.58,8.0,1.0,3.0,12.0,High,2021,8,3,966,Rainy
2357,2021-08-27,Peri-Urban,Ikorodu,1.81,69,14.68,6.73,3.0,0.0,2.0,5.0,Medium,2021,8,3,969,Rainy
2358,2021-08-31,Peri-Urban,Ikorodu,5.45,54,28.55,7.03,3.0,3.0,7.0,13.0,High,2021,8,3,973,Rainy
2359,2021-03-09,Peri-Urban,Ikorodu,4.08,58,5.91,7.11,7.0,1.0,5.0,13.0,High,2021,3,1,798,Dry
2360,2021-07-09,Peri-Urban,Ikorodu,5.65,48,16.51,7.1,3.0,3.0,2.0,8.0,Medium,2021,7,3,920,Rainy
2361,2021-10-09,Peri-Urban,Ikorodu,0.7,61,11.3,6.52,1.0,1.0,2.0,4.0,Low,2021,10,4,1012,Rainy
2362,2021-09-14,Peri-Urban,Ikorodu,0.7,47,27.7,6.9,5.0,1.0,3.0,9.0,Medium,2021,9,3,987,Rainy
2363,2021-09-17,Peri-Urban,Ikorodu,4.31,78,20.28,6.61,7.0,1.0,3.0,11.0,High,2021,9,3,990,Rainy
2364,2021-09-21,Peri-Urban,Ikorodu,3.02,89,14.97,6.36,6.0,5.0,5.0,16.0,High,2021,9,3,994,Rainy
2365,2021-09-24,Peri-Urban,Ikorodu,2.48,87,8.63,6.84,7.0,2.0,5.0,14.0,High,2021,9,3,997,Rainy
2366,2021-09-28,Peri-Urban,Ikorodu,0.72,77,9.36,7.1,2.0,4.0,7.0,13.0,High,2021,9,3,1001,Rainy
2367,2021-01-10,Peri-Urban,Ikorodu,4.49,56,11.08,6.58,2.0,2.0,2.0,6.0,Medium,2021,1,1,740,Dry
2368,2021-05-10,Peri-Urban,Ikorodu,4.01,67,11.33,6.85,8.0,2.0,1.0,11.0,High,2021,5,2,860,Rainy
2369,2021-08-10,Peri-Urban,Ikorodu,5.78,52,15.08,6.4,4.0,0.0,1.0,5.0,Medium,2021,8,3,952,Rainy
2370,2021-12-10,Peri-Urban,Ikorodu,2.38,25,17.73,6.23,1.0,0.0,0.0,1.0,Low,2021,12,4,1074,Dry
2371,2021-10-15,Peri-Urban,Ikorodu,4.82,59,16.49,6.6,7.0,1.0,4.0,12.0,High,2021,10,4,1018,Rainy
2372,2021-10-19,Peri-Urban,Ikorodu,1.77,44,10.88,6.82,6.0,3.0,2.0,11.0,High,2021,10,4,1022,Rainy
2373,2021-10-22,Peri-Urban,Ikorodu,3.38,76,10.63,7.18,9.0,2.0,3.0,14.0,High,2021,10,4,1025,Rainy
